Scheme,Implementation,Key Generation [cycles] (mean),Key Generation [cycles] (min),Key Generation [cycles] (max),Encapsulation [cycles] (mean),Encapsulation [cycles] (min),Encapsulation [cycles] (max),Decapsulation [cycles] (mean),Decapsulation [cycles] (min),Decapsulation [cycles] (max),Key Generation [bytes],Encapsulation [bytes],Decapsulation [bytes],nan,nan,nan,nan,nan,nan,.text [bytes],.data [bytes],.bss [bytes],Total [bytes],nan_size,nan_size,nan_size,nan_size,nan_size,Total_Cycles,Max_RAM,Flash,Security_Level,EAS_Class 0,EAS_Class 1,EAS_Class 2
ml-kem-768,clean,988722,985880,998135,1138225,1135419,1147634,1387984,1385144,1397397,48.5,43.2,35.4,,,,,,,5120,0,0,5120,,,,,,3514931.0,5120.0,5120.0,3,1.081,1.081,1.21
ml-kem-768,m4fspeed,642096,639116,651103,658754,655785,667769,707827,704858,716842,5396,6468,6452,,,,,,,16016,0,0,16016,,,,,,2008677.0,16016.0,16016.0,3,0.0,0.0,1.135
ml-kem-768,m4fspeed,642096,639116,651103,658754,655785,667769,707827,704858,716842,74.5,74.4,69.2,,,,,,,16016,0,0,16016,,,,,,2008677.0,16016.0,16016.0,3,0.0,0.0,1.135
ml-kem-768,m4fstack,644195,640433,652374,664654,660893,672834,714194,710433,722374,2820,2860,2844,,,,,,,13320,0,0,13320,,,,,,2023043.0,13320.0,13320.0,3,0.0,0.0,1.154
ml-kem-768,m4fstack,644195,640433,652374,664654,660893,672834,714194,710433,722374,74.4,73.9,68.7,,,,,,,13320,0,0,13320,,,,,,2023043.0,13320.0,13320.0,3,0.0,0.0,1.154
aimer128f,m4speed,490087,490087,490088,28590420,28590395,28590439,26750578,26749771,26751014,8720,123376,15448,,,,,,,15992,0,0,15992,,,,,,55831085.0,123376.0,15992.0,1,0.0,0.0,0.0
aimer128f,m4speed,490087,490087,490088,28590420,28590395,28590439,26750578,26749771,26751014,57.9,49.5,50.1,,,,,,,15992,0,0,15992,,,,,,55831085.0,15992.0,15992.0,1,0.0,0.0,0.926
aimer128f,m4stack,490082,490082,490083,46470710,46470162,46471507,26743713,26743128,26744143,8720,13864,15440,,,,,,,16392,0,0,16392,,,,,,73704505.0,16392.0,16392.0,1,0.0,0.0,0.923
aimer128f,m4stack,490082,490082,490083,46470710,46470162,46471507,26743713,26743128,26744143,57.9,66.6,50.1,,,,,,,16392,0,0,16392,,,,,,73704505.0,16392.0,16392.0,1,0.0,0.0,0.923
aimer128f,mem_opt,564325,564324,564326,46875341,46874593,46876276,26989249,26988505,26989828,8728,13864,15440,,,,,,,17476,0,0,17476,,,,,,74428915.0,17476.0,17476.0,1,0.0,0.0,0.915
aimer128f,mem_opt,564325,564324,564326,46875341,46874593,46876276,26989249,26988505,26989828,50.6,66.1,49.6,,,,,,,17476,0,0,17476,,,,,,74428915.0,17476.0,17476.0,1,0.0,0.0,0.915
aimer128f,ref,564323,564323,564324,28991142,28991115,28991171,26994617,26994234,26994927,8728,123376,15448,,,,,,,17076,0,0,17076,,,,,,56550082.0,123376.0,17076.0,1,0.0,0.0,0.0
aimer128f,ref,564323,564323,564324,28991142,28991115,28991171,26994617,26994234,26994927,50.6,48.8,49.6,,,,,,,17076,0,0,17076,,,,,,56550082.0,17076.0,17076.0,1,0.0,0.0,0.919
aimer128s,m4speed,490085,490085,490086,277353540,277345110,277354485,225136633,225136625,225136640,8720,166204,34624,,,,,,,16764,0,0,16764,,,,,,502980258.0,166204.0,16764.0,1,0.0,0.0,0.0
aimer128s,m4speed,490085,490085,490086,277353540,277345110,277354485,225136633,225136625,225136640,57.9,43.2,50.7,,,,,,,16764,0,0,16764,,,,,,502980258.0,16764.0,16764.0,1,0.0,0.0,0.917
aimer128s,m4stack,490088,490088,490088,372458535,372458327,372459135,225134323,225134115,225134367,8720,27324,34624,,,,,,,16368,0,0,16368,,,,,,598082946.0,34624.0,16368.0,1,0.0,0.0,0.812
aimer128s,m4stack,490088,490088,490088,372458535,372458327,372459135,225134323,225134115,225134367,57.9,68.3,50.7,,,,,,,16368,0,0,16368,,,,,,598082946.0,16368.0,16368.0,1,0.0,0.0,0.919
aimer128s,mem_opt,564323,564323,564325,374834586,374834473,374834973,227230761,227230441,227230833,8728,27324,34624,,,,,,,17452,0,0,17452,,,,,,602629670.0,34624.0,17452.0,1,0.0,0.0,0.811
aimer128s,mem_opt,564323,564323,564325,374834586,374834473,374834973,227230761,227230441,227230833,50.6,67.9,50.2,,,,,,,17452,0,0,17452,,,,,,602629670.0,17452.0,17452.0,1,0.0,0.0,0.911
aimer192f,m4speed,1192752,1192752,1192753,80106923,80106896,80106945,75084294,75083653,75085373,19184,273104,31608,,,,,,,23528,0,0,23528,,,,,,156383969.0,273104.0,23528.0,3,0.0,0.0,0.0
aimer192f,m4speed,1192752,1192752,1192753,80106923,80106896,80106945,75084294,75083653,75085373,62.3,40.7,41.2,,,,,,,23528,0,0,23528,,,,,,156383969.0,23528.0,23528.0,3,0.0,0.0,1.071
aimer192f,m4stack,1192753,1192753,1192754,116329912,116328844,116330708,75138063,75137469,75138892,19184,29976,31608,,,,,,,23956,0,0,23956,,,,,,192660728.0,31608.0,23956.0,3,0.0,0.0,1.023
aimer192f,m4stack,1192753,1192753,1192754,116329912,116328844,116330708,75138063,75137469,75138892,62.3,57.2,41.2,,,,,,,23956,0,0,23956,,,,,,192660728.0,23956.0,23956.0,3,0.0,0.0,1.068
aimer192f,mem_opt,1397043,1397043,1397043,117993511,117991579,117995094,76372135,76370763,76373839,19192,29976,31608,,,,,,,25384,0,0,25384,,,,,,195762689.0,31608.0,25384.0,3,0.0,0.0,1.021
aimer192f,mem_opt,1397043,1397043,1397043,117993511,117991579,117995094,76372135,76370763,76373839,53.5,56.4,40.5,,,,,,,25384,0,0,25384,,,,,,195762689.0,25384.0,25384.0,3,0.0,0.0,1.058
aimer192f,ref,1397040,1397040,1397041,81884026,81883991,81884035,76458825,76456517,76460984,19192,273104,31608,,,,,,,24956,0,0,24956,,,,,,159739891.0,273104.0,24956.0,3,0.0,0.0,0.0
